Retrieved by E4-util: 2012/01/16,13:56:13                            1 0  0    0
 4.009000+3 8.934761+0         -1          0          0          1 409 1451    1
 0.000000+0 0.000000+0          0          0          0          6 409 1451    2
 9.991673-1 1.130000+8          1          0      10010          7 409 1451    3
 0.000000+0 0.000000+0          0          0         10         17 409 1451    4
  4-Be-  9 LANL       EVAL-NOV88 P.G.Young, E.D.Arthur             409 1451    5
                      DIST-DEC06 REV1-                 20111222    409 1451    6
----ENDF/B-VII.1      MATERIAL  409         REVISION 1             409 1451    7
-----INCIDENT PROTON DATA                                          409 1451    8
------ENDF-6 FORMAT                                                409 1451    9
                                                                   409 1451   10
 REFERENCE: P. G. Young, E. D. Arthur, et al, "Transport Data      409 1451   11
 Libraries for Incident Proton and Neutron Energies to 100 Mev,"   409 1451   12
 Los Alamos National Laboratory report LA-11753-MS (July 1990).    409 1451   13
 8.000000+6 5.030000-2 1.000000+7 4.050000-2 1.200000+7 3.650000-2 409 3 50    9
 1.400000+7 2.960000-2 1.600000+7 2.570000-2 1.800000+7 2.370000-2 409 3 50   10
 2.000000+7 2.230000-2 3.000000+7 3.200000-2 4.000000+7 2.600000-2 409 3 50   11
 5.000000+7 1.000000-2 7.500000+7 6.000000-3 1.000000+8 4.000000-3 409 3 50   12
 1.130000+8 3.000000-3                                             409 3 50   13
 0.000000+0 0.000000+0          0          0          0          0 409 3  099999
 4.009000+3 8.934761+0          0          0          0          0 409 3 51    1
 0.000000+0-3.450600+6          0          0          1         22 409 3 51    2
         22          2                                             409 3 51    3
 3.836800+6 0.000000+0 4.000000+6 3.000000-2 4.300000+6 5.000000-2 409 3 51    4
 5.000000+6 5.800000-2 5.500000+6 5.650000-2 6.000000+6 4.650000-2 409 3 51    5
 6.500000+6 3.950000-2 7.000000+6 3.800000-2 7.300000+6 3.550000-2 409 3 51    6
 8.000000+6 2.515000-2 1.000000+7 2.025000-2 1.200000+7 1.825000-2 409 3 51    7
 1.400000+7 1.480000-2 1.600000+7 1.285000-2 1.800000+7 1.185000-2 409 3 51    8
 2.000000+7 1.115000-2 3.000000+7 1.600000-2 4.000000+7 1.300000-2 409 3 51    9
 5.000000+7 5.000000-3 7.500000+7 3.000000-3 1.000000+8 2.000000-3 409 3 51   10
 1.130000+8 1.500000-3                                             409 3 51   11
 0.000000+0 0.000000+0          0          0          0          0 409 3  099999
 4.009000+3 8.934761+0          0          0          0          0 409 3 52    1
 0.000000+0-4.211600+6          0          0          1         20 409 3 52    2
         20          2                                             409 3 52    3
 4.683000+6 0.000000+0 5.000000+6 3.000000-2 5.500000+6 5.000000-2 409 3 52    4
 6.000000+6 4.650000-2 6.500000+6 3.950000-2 7.000000+6 3.800000-2 409 3 52    5
 7.300000+6 3.550000-2 8.000000+6 2.515000-2 1.000000+7 2.025000-2 409 3 52    6
 1.200000+7 1.825000-2 1.400000+7 1.480000-2 1.600000+7 1.285000-2 409 3 52    7
 1.800000+7 1.185000-2 2.000000+7 1.115000-2 3.000000+7 1.600000-2 409 3 52    8
 4.000000+7 1.300000-2 5.000000+7 5.000000-3 7.500000+7 3.000000-3 409 3 52    9
 1.000000+8 2.000000-3 1.130000+8 1.500000-3                       409 3 52   10
 0.000000+0 0.000000+0          0          0          0          0 409 3  099999
 4.009000+3 8.934761+0          0          0          0          0 409 3 53    1
 0.000000+0-4.638600+6          0          0          1         19 409 3 53    2
         19          2                                             409 3 53    3
 5.157800+6 0.000000+0 5.500000+6 1.500000-2 6.000000+6 2.325000-2 409 3 53    4
 6.500000+6 1.975000-2 7.000000+6 1.900000-2 7.300000+6 1.775000-2 409 3 53    5
 8.000000+6 1.257500-2 1.000000+7 1.012500-2 1.200000+7 9.125000-3 409 3 53    6
 1.400000+7 7.400000-3 1.600000+7 6.425000-3 1.800000+7 5.925000-3 409 3 53    7
 2.000000+7 5.575000-3 3.000000+7 8.000000-3 4.000000+7 6.500000-3 409 3 53    8
 5.000000+7 2.500000-3 7.500000+7 1.500000-3 1.000000+8 1.000000-3 409 3 53    9
 1.130000+8 7.500000-4                                             409 3 53   10
 0.000000+0 0.000000+0          0          0          0          0 409 3  099999
 4.009000+3 8.934761+0          0          0          0          0 409 3 54    1
 0.000000+0-6.650600+6          0          0          1         14 409 3 54    2
         14          2                                             409 3 54    3
 7.395000+6 0.000000+0 8.000000+6 8.000000-3 1.000000+7 1.012500-2 409 3 54    4
